Pclass,Sex,Age,SibSp,Parch,Fare,relatives,PassengerId,Survived
3.0,1.0,34.5,0.0,0.0,7.8292,0.0,892,0.0
3.0,2.0,47.0,1.0,0.0,7.0,1.0,893,0.0
2.0,1.0,62.0,0.0,0.0,9.6875,0.0,894,0.0
3.0,1.0,27.0,0.0,0.0,8.6625,0.0,895,0.0
3.0,2.0,22.0,1.0,1.0,12.2875,2.0,896,0.0
3.0,1.0,14.0,0.0,0.0,9.225,0.0,897,0.0
3.0,2.0,30.0,0.0,0.0,7.6292,0.0,898,1.0
2.0,1.0,26.0,1.0,1.0,29.0,2.0,899,0.0
3.0,2.0,18.0,0.0,0.0,7.2292,0.0,900,1.0
3.0,1.0,21.0,2.0,0.0,24.15,2.0,901,0.0
3.0,1.0,27.0,0.0,0.0,7.8958,0.0,902,0.0
1.0,1.0,46.0,0.0,0.0,26.0,0.0,903,0.0
1.0,2.0,23.0,1.0,0.0,82.2667,1.0,904,1.0
2.0,1.0,63.0,1.0,0.0,26.0,1.0,905,0.0
1.0,2.0,47.0,1.0,0.0,61.175,1.0,906,1.0
2.0,2.0,24.0,1.0,0.0,27.7208,1.0,907,1.0
2.0,1.0,35.0,0.0,0.0,12.35,0.0,908,0.0
3.0,1.0,21.0,0.0,0.0,7.225,0.0,909,0.0
3.0,2.0,27.0,1.0,0.0,7.925,1.0,910,0.0
3.0,2.0,45.0,0.0,0.0,7.225,0.0,911,0.0
1.0,1.0,55.0,1.0,0.0,59.4,1.0,912,0.0
3.0,1.0,9.0,0.0,1.0,3.1708,1.0,913,1.0
1.0,2.0,27.0,0.0,0.0,31.6833,0.0,914,1.0
1.0,1.0,21.0,0.0,1.0,61.3792,1.0,915,0.0
1.0,2.0,48.0,1.0,3.0,262.375,4.0,916,1.0
3.0,1.0,50.0,1.0,0.0,14.5,1.0,917,0.0
1.0,2.0,22.0,0.0,1.0,61.9792,1.0,918,1.0
3.0,1.0,22.5,0.0,0.0,7.225,0.0,919,0.0
1.0,1.0,41.0,0.0,0.0,30.5,0.0,920,0.0
3.0,1.0,27.0,2.0,0.0,21.6792,2.0,921,0.0
2.0,1.0,50.0,1.0,0.0,26.0,1.0,922,0.0
